Drug A,Drug B,Cell Line Name,Score
VEMURAFENIB,IMATINIB,HT-29,-17.9
DASATINIB,FULVESTRANT,NCI-H460,-2.55
VEMURAFENIB,LAPATINIB,Caki-1,5.08
MIFEPRISTONE,RUXOLITINIB,L-1236,-28.831
AXITINIB,FULVESTRANT,MDA-MB-231,-8.91
VINBLASTINE,SORAFENIB,UACC-62,5.265000000000001
MEGESTROL ACETATE,LAPATINIB,KM12,-4.16
VISMODEGIB,RALOXIFENE,SK-MEL-28,7.09
VANDETANIB,NILOTINIB,CCRF-CEM,0.23
AXITINIB,LENALIDOMIDE,MOLT-4,-38.75
CELECOXIB,SORAFENIB,Caki-1,-11.07
TRETINOIN,SUNITINIB,OVCAR-5,1.5
RALOXIFENE,CELECOXIB,SF268,-0.52
NILOTINIB,MITOTANE,M14,-4.68
CRIZOTINIB,TRETINOIN,HCT 116,-8.22
VINBLASTINE,SUNITINIB,UACC-62,2.5925
VEMURAFENIB,CELECOXIB,PC-3,-2.96
IMATINIB,ROMIDEPSIN,PC-3,-80.0
MEGESTROL ACETATE,ROMIDEPSIN,NCI-H23,-75.32
VEMURAFENIB,PACLITAXEL,OVCAR-5,-68.78
VEMURAFENIB,PACLITAXEL,U-251MG,-4.41
AXITINIB,SUNITINIB,NCI-H322M,1.12
LENALIDOMIDE,LAPATINIB,SF539,-2.14
RALOXIFENE,FULVESTRANT,BT-549,-0.87
RALOXIFENE,THALIDOMIDE,HT-29,-0.66
VANDETANIB,VEMURAFENIB,COLO 205,-15.01
RALOXIFENE,PACLITAXEL,EKVX,-12.23
VEMURAFENIB,TRETINOIN,M14,-11.38
RUXOLITINIB,PACLITAXEL,MOLT-4,17.43
AXITINIB,GEFITINIB,NCI-H522,5.28
VEMURAFENIB,DASATINIB,MCF-7,-0.44
FULVESTRANT,ARSENIC TRIOXIDE,RXF 393L,-12.0
LENALIDOMIDE,IMATINIB,Caki-1,-1.45
AXITINIB,VANDETANIB,UACC-62,-1.36
MEGESTROL ACETATE,FULVESTRANT,HCC2998,1.5
VISMODEGIB,PACLITAXEL,786-O,14.15
DASATINIB,MITOTANE,UACC-62,2.07
ABIRATERONE,AXITINIB,SF295,-1.56
LENALIDOMIDE,SUNITINIB,NCI-H23,4.23
RALOXIFENE,SUNITINIB,ACHN,-30.18
ARECOLINE,RUXOLITINIB,L-1236,-11.16
VANDETANIB,SORAFENIB,CCRF-CEM,-17.64
CRIZOTINIB,VEMURAFENIB,HCC2998,-49.14
GEFITINIB,DASATINIB,T-47D,0.68
RALOXIFENE,GEFITINIB,ACHN,-1.42
NILOTINIB,FULVESTRANT,SR,-9.74
